document_name,article_number,livre,titre,chapitre,section,sous_section,pages,content,source_relative_path
Code_procedure_penale_fr_0,9,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,,,4,"La police judiciaire est chargée de constater les infractions, d'en rassembler les preuves, d'en rechercher les auteurs et de livrer ces derniers aux tribunaux, tant qu'une information n'est pas ouverte.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,10,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section I Des officiers de police judiciaire,,4-5,"La police judiciaire est exercée sous l'autorité du Procureur Général de la République et, dans chaque ressort de Cour d'Appel, des avocats généraux par : 1) les Procureurs de la République et leurs substituts; 2) les juges cantonaux; 3) les commissaires de police, officiers de police et chefs de poste de police; 4) les officiers, sous-officiers et chefs de poste de la garde nationale; 5) les cheikhs; 6) les agents des administrations qui ont reçu des lois spéciales le pouvoir de rechercher et de constater par des procès-verbaux certaines infractions; 7) les juges d'instruction dans les cas prévus par le présent code.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,11,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section I Des officiers de police judiciaire,,5,"Les officiers de police judiciaire visés aux 2°, 3° et 4° de l'article 10 sont les auxiliaires du Procureur de la République. Ils ont, en matière de crimes ou délits flagrants, les mêmes pouvoirs que ce dernier, qu'ils doivent aviser sans délai de leurs diligences. En dehors de ces cas, ils ne peuvent faire aucun acte d'instruction s'ils n'ont reçu commission rogatoire à cet effet.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,12,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section I Des officiers de police judiciaire,,5,"Les juges cantonaux peuvent, dans leurs circonscriptions, faire personnellement ou requérir les autres officiers de police judiciaire visés aux 3 à 6 de l'article 10, chacun en ce qui le concerne, de procéder à tous actes d'enquête préliminaire. Ils peuvent procéder à l'arrestation provisoire des inculpés à charge de les faire2 présenter sans délai au tribunal le plus proche. En outre, ils reçoivent les dénonciations des crimes et délits commis dans le lieu où ils exercent leurs fonctions. Ils donnent avis au Procureur de la République de tous les crimes et délits dont ils acquièrent la connaissance dans l'exercice de leurs fonctions ; ils lui transmettent tous les renseignements, procès-verbaux et actes qui y sont relatifs.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,13,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section I Des officiers de police judiciaire,,5,"Les officiers de police judiciaire visés aux 3° et 4° de l'article 10 doivent : 1) donner avis au Procureur de la République de toute infraction dont ils acquièrent la connaissance dans l'exercice de leurs fonctions et lui transmettre tous renseignements et procès- verbaux qui s'y rapportent, 2) recevoir les rapports, dénonciations et plaintes relatifs à ces infractions, 3) constater par procès-verbaux, dans la limite de leur compétence territoriale, toute infraction d'une nature quelconque.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,13bis (Ajouté par la loi n° 87-70 du 26 novembre 1987 et modifié par la loi n° 99-90 du 2 août 1999),LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section I Des officiers de police judiciaire,,5-6,Ajouté par la loi n° 87-70 du 26 novembre 1987 et modifié par la loi n° 99-90 du 2 août 1999).,pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,14,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section I Des officiers de police judiciaire,,6,"Comme officier de police judiciaire, le juge d'instruction peut constater toute infraction qui serait commise en sa présence dans l'exercice de ses fonctions ou dont l'existence lui serait révélée au cours d'une information régulière. Mais, sauf au cas de crime flagrant, il n'a pas le droit de se saisir et ne peut instruire sur aucun fait sans réquisitoire du ministère public.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,15,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section I Des officiers de police judiciaire,,6-7,"Les cheikhs sont chargés de constater, dans la limite de leurs circonscriptions territoriales, les délits et contraventions qui auraient porté atteinte aux propriétés rurales. Ils constatent par procès-verbal les circonstances de l'infraction et en rassemblent les preuves. Ils suivent les objets soustraits dans les lieux où ils ont été transportés et les mettent sous séquestre. Ils ne peuvent, néanmoins, s'introduire dans les maisons d'habitation ou dépendances, si ce n'est en présence d'un des officiers de police judiciaire visés aux 2, 3 et 4 de l'article 10 et dans la limite des pouvoirs conférés à ces derniers en matière de perquisitions domiciliaires. Le procès-verbal qui en est dressé est signé par celui en présence duquel la perquisition a été faite. Ils arrêtent et conduisent devant le tribunal ou devant l'un des officiers de police judiciaire susvisés, tout individu surpris en délit ou crime flagrant. En outre, ils donnent avis de toutes les infractions dont ils ont acquis la connaissance dans l'exercice de leurs fonctions. Enfin ils doivent, en cas de transport sur les lieux, assister le magistrat ou l'officier de police judiciaire en vue de la découverte de la vérité.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,16,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section I Des officiers de police judiciaire,,7,"Lorsque plusieurs officiers de police judiciaire se trouvent saisis d'une même affaire, c'est le premier saisi qui doit continuer à procéder. Les officiers de police judiciaire qui ont le droit de requérir d'autres officiers de police judiciaire aux termes de l'article 12 ont également le pouvoir de les dessaisir à leur profit. Toutefois, les officiers de police judiciaire sont toujours dessaisis dès que le procureur de la République, son substitut ou le juge d'instruction se saisit de l'affaire. Ils doivent leur remettre sur le champ l'inculpé ainsi que les procès-verbaux et les pièces à conviction.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,17,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section I Des officiers de police judiciaire,,7,"Les officiers de police judiciaire ont le droit, chacun dans la limite de ses attributions, de requérir l'assistance des agents de la force publique.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,18,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section I Des officiers de police judiciaire,,7,"Les plaintes et les dénonciations volontaires peuvent être faites verbalement devant un officier de police judiciaire, lequel doit les consigner dans un procès-verbal qu'il signe avec le plaignant ou le déclarant. Si ce dernier ne veut ou ne peut signer, il en est fait mention. Les plaintes peuvent aussi être faites par écrit. Elles doivent en ce cas être signées par les plaignants, leurs mandataires ou leurs représentants légaux. Elles indiquent les faits susceptibles de motiver les poursuites, ainsi que les moyens de preuve.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,19,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section I Des officiers de police judiciaire,,7-8,"Les plaintes, dénonciations et procès-verbaux sont transmis, sans délai, par les officiers de police judiciaire qui les ont reçus, aux procureurs de la République.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,20,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section II Du ministère public,,8,Le ministère public met en mouvement et exerce l'action publique. Il requiert l'application de la loi et assure l'exécution des décisions de justice.,pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,21,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section II Du ministère public,,8,Le ministère public est tenu de prendre des réquisitions écrites conformes aux instructions qui lui sont données dans les conditions prévues à l'article 23. Il développe librement des observations orales qu'il croit convenables au bien de la justice.,pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,22,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section III Des attributions du Procureur Général de la République,,8,"Le Procureur Général de la République4 est chargé, sous l'autorité du Secrétaire d'Etat à la justice, de veiller à l'application de la loi pénale dans toute l'étendue du territoire de la République. Il peut représenter en personne le ministère public auprès des cours d'appel. Il a autorité sur tous les magistrats du ministère public. Il a, dans l'exercice de ses fonctions, le droit de requérir directement la force publique. En cas d'empêchement, l'intérim du Procureur Général de la République est assuré par un avocat général désigné par le secrétaire d'Etat à la justice.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,23,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section III Des attributions du Procureur Général de la République,,8,"Le secrétaire d'Etat à la justice peut dénoncer au Procureur Général de la République les infractions à la loi pénale dont il a connaissance, lui enjoindre d'engager ou de faire engager des poursuites ou de saisir la juridiction compétente de telles réquisitions écrites qu'il juge opportunes.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,24,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section III Des attributions du Procureur Général de la République,,8,"L'avocat général représente en personne ou par ses substituts le ministère public auprès de la cour d'appel. (4) Lʹemploi de procureur général de la République est supprimé par la loi n° 87-80 du 29 décembre 1987, cette loi dispose en outre que :",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,25,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section IV Des attributions du Procureur de la République,,9,Le Procureur de la République représente en personne ou par ses substituts le ministère public auprès du tribunal de première instance.,pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,26,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section IV Des attributions du Procureur de la République,,9,"Le procureur de la République est chargé de la constatation de toutes les infractions, de la réception des dénonciations qui lui sont faites par les fonctionnaires publics ou les particuliers ainsi que des plaintes des parties lésées. Hors le cas de crime ou délit flagrant, il ne peut faire d'actes d'instruction. Toutefois, il peut recueillir, à titré de renseignements, les preuves par enquête préliminaire, interroger sommairement l'inculpé, recevoir des déclarations et en dresser procès-verbal. Il peut, même en matière de crime ou délit flagrant, charger un officier de police judiciaire, de partie des actes de sa compétence.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,27,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section IV Des attributions du Procureur de la République,,9,"Sont compétents, le procureur de la République du lieu de l'infraction, celui du domicile de l'inculpé, celui de sa dernière résidence, ou celui du lieu où il a été trouvé.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,28,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section IV Des attributions du Procureur de la République,,9,"En cas de crime, le procureur de la République doit aviser immédiatement le procureur général de la République et l'avocat général compétent, et requérir sans délai du juge d'instruction de son ressort une information régulière.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,29,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section IV Des attributions du Procureur de la République,,9,"Toutes les autorités et tous les fonctionnaires publics sont tenus de dénoncer au procureur de la République les infractions qui sont parvenues à leur connaissance dans l'exercice de leurs fonctions et de lui transmettre tous les renseignements, procès- verbaux et actes y relatifs. En aucun cas, ils ne peuvent être actionnés en dénonciation calomnieuse ni en dommages-intérêts, en raison des avis qu'ils sont tenus de donner par le présent article, à moins d'établir leur mauvaise foi.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,30,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section IV Des attributions du Procureur de la République,,9,Le procureur de la République apprécie la suite à donner aux plaintes et dénonciations qu'il reçoit ou qui lui sont transmises.,pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,31,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section IV Des attributions du Procureur de la République,,9-10,"Le procureur de la République, en présence d'une plainte insuffisamment motivée ou insuffisamment justifiée, peut requérir du juge d'instruction qu'il soit provisoirement informé contre inconnu, et ce, jusqu'au moment où peuvent intervenir des inculpations ou, s'il y a lieu, de nouvelles réquisitions contre personne dénommée.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,32,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section IV Des attributions du Procureur de la République,,10,"Le plaignant peut, sans être obligé de se constituer partie civile, réclamer la restitution des objets qui lui ont été pris.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,33,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section V Des crimes et des délits flagrants,,10,"Il y a crime ou délit flagrant : 1) lorsque le fait se commet actuellement ou vient de se commettre; 2) lorsque l'inculpé est poursuivi par la clameur publique, ou est trouvé en possession d'objets ou présente des traces ou indices faisant présumer sa culpabilité, pourvu que ce soit dans un temps très voisin de l'action. Est assimilé au crime ou délit flagrant, tout crime ou délit qui, même non commis dans les circonstances prévues à l'alinéa précédent, a été commis dans une maison dont le maître requiert un officier de police judiciaire de le constater.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,34,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section V Des crimes et des délits flagrants,,10,"Dans tous les cas de crime ou délit flagrant, le procureur de la République réunit au droit de poursuite tous les pouvoirs du juge d'instruction.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,35,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section V Des crimes et des délits flagrants,,10,"En cas de crime flagrant, le juge d'instruction peut, dans sa circonscription, faire directement et par lui-même tous les actes attribués aux procureurs de la République, suivant la loi, tout en conservant les pouvoirs qui lui sont propres; il doit aviser sans délai le procureur de la République. Il peut notamment entendre les témoins sans convocation préalable, arrêter l'inculpé présent sur un simple ordre verbal et faire exécuter lui-même ses ordonnances. Il transmet ensuite ses procès-verbaux au ministère public qui prend les réquisitions qu'il juge utiles.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,36,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section VI De la constitution de la partie civile,,10-11,"Le classement de l'affaire par le procureur de la République ne fait pas obstacle au droit qu'a la partie lésée de mettre en mouvement l'action publique sous sa propre responsabilité. Dans ce cas, elle peut, en se constituant partie civile, soit demander l'ouverture d'une information, soit citer directement le prévenu devant le tribunal.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,37,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section VI De la constitution de la partie civile,,11,"L'action civile poursuivie en même temps que l'action publique conformément à l'article 7 du présent code, peut être exercée, soit devant le juge d'instruction en cours d'information, soit devant la juridiction saisie de l'affaire.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,38,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section VI De la constitution de la partie civile,,11,"La juridiction saisie ou le juge d'instruction apprécie la recevabilité de la constitution de partie civile, et s'il échet, déclare cette constitution irrecevable. L'irrecevabilité peut être soulevée par le ministère public, le prévenu, le civilement responsable ou une autre partie civile. La juridiction saisie joint l'incident au fond et statue par un seul et même jugement. Toutefois, dans le cas où la partie civile agit à titre principal, la juridiction saisie rend une décision immédiate sur l'incident. Le juge d'instruction statue par ordonnance après communication du dossier au ministère public, cette ordonnance est susceptible d'appel devant la chambre d'accusation dans les quatre jours de sa communication pour le procureur de la République et de sa notification pour les autres parties.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,39,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section VI De la constitution de la partie civile,,11,"La constitution de partie civile est faite au moyen d'une requête écrite signée par le plaignant ou son représentant et présentée suivant les cas au procureur de la République, au juge d'instruction ou à la juridiction saisie. Elle est dispensée de la consignation des frais. Toutefois, dans le cas de l'article 36, le plaignant doit, sous peine de non- recevabilité de sa plainte, consigner la somme présumée nécessaire pour les frais de la procédure. Cette somme est fixée, suivant le cas, par le Président de la juridiction saisie ou le juge d'instruction.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,40,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section VI De la constitution de la partie civile,,11,"La partie civile doit élire domicile au siège de la juridiction saisie de l'affaire. Faute de quoi, elle ne peut opposer le défaut de signification des actes qui auraient dû lui être signifiés aux termes de la loi.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,41,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section VI De la constitution de la partie civile,,11,"La partie civile qui se désiste expressément dans les quarante-huit heures de sa constitution ne sera pas tenue des frais depuis le désistement. Après désistement, l'action civile ne peut être portée que devant la juridiction civile.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,42,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section VI De la constitution de la partie civile,,11,La partie lésée ne peut se constituer partie civile pour la première fois devant la juridiction d'appel.,pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,43,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section VI De la constitution de la partie civile,,11-12,La personne qui s'est constituée partie civile ne peut plus être entendue comme témoin.,pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,44,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section VI De la constitution de la partie civile,,12,"Il est interdit de publier, avant toute décision judiciaire, toute information relative à des constitutions de partie civile faites en application de l'article 36, sous peine d'une amende de cent dinars.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,45,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section VI De la constitution de la partie civile,,12,"Quand, après une information ouverte sur constitution de partie civile, une décision de non-lieu a été rendue, l'inculpé peut demander réparation du dommage occasionné par la mise en mouvement de l'action publique, sans préjudice des poursuites pénales du chef de dénonciation calomnieuse, s'il y a lieu. L'action en dommages-intérêts est portée, dans les trois mois du jour où l'ordonnance de non-lieu est devenue définitive, devant le Tribunal de première instance statuant en matière correctionnelle. Est compétent, le Tribunal où l'affaire a été instruite. Le tribunal statue en chambre du conseil, les parties ou leurs conseils et le ministère public entendus. Le jugement est rendu en audience publique. Le tribunal, en cas de condamnation, peut ordonner la publication intégrale ou par extraits de son jugement dans un ou plusieurs journaux qu'il désigne, aux frais du condamné. Il fixe dans le jugement le coût des insertions. L'opposition, s'il échet, et l'appel sont soumis aux formes et délais de droit commun en matière correctionnelle. L'appel est porté devant la cour d'appel statuant dans les mêmes formes que le tribunal de première instance. L'arrêt de la cour d'appel peut être déféré à la cour de cassation comme en matière pénale.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,46,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE PREMIER DE LA POLICE JUDICIAIRE,Section VI De la constitution de la partie civile,,12,"En cas de relaxe, le tribunal peut prononcer une amende de cinquante dinars contre la partie civile qui a cité directement le prévenu, sans préjudice des poursuites pénales du chef de dénonciation calomnieuse, s'il y a lieu.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,47,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE II DE L'INSTRUCTION,Section I Des juges d'instruction,,12-13,"L'instruction préparatoire est obligatoire en matière de crime; sauf dispositions spéciales, elle est facultative en matière de délit et de contravention.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,48,LIVRE PREMIER DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,CHAPITRE II DE L'INSTRUCTION,Section I Des juges d'instruction,,13,"Les fonctions de juge d'instruction sont confiées à un magistrat désigné par décret. En cas de nécessiter, un magistrat peut être désigné, par arrêté, pour remplir provisoirement les fonctions de juge d'instruction ou pour instruire des affaires déterminées. En cas d'absence ou d'empêchement momentané, le titulaire est remplacé, pour les affaires urgentes, par un juge du siège désigné par le président du tribunal.",pdfs/Code_procedure_penale_fr_0.pdf
